item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q372743,Alexander Hugh Holmes Stuart,American politician (1807-1891),Q6581097,male,1807-04-02T00:00:00Z,11,1891-02-13T00:00:00Z,11
Q1335536,Alexander J. Dallas,6th United States Secretary of the Treasury (1759-1817),Q6581097,male,1759-06-21T00:00:00Z,11,1817-01-16T00:00:00Z,11
Q1354363,Alexander Mitchell Palmer,American politician (1872-1936),Q6581097,male,1872-05-04T00:00:00Z,11,1936-05-11T00:00:00Z,11
Q748989,Alexander Ramsey,American politician (1815-1903),Q6581097,male,1815-09-08T00:00:00Z,11,1903-04-22T00:00:00Z,11
Q924949,Alexander Trowbridge,United States Secretary of Commerce (1929-2006),Q6581097,male,1929-12-12T00:00:00Z,11,2006-04-27T00:00:00Z,11
Q292340,Alexis Herman,American politician,Q6581072,female,1947-07-16T00:00:00Z,11,,
Q324505,Alphonso Jackson,13th United States Secretary of Housing and Urban Development,Q6581097,male,1945-09-09T00:00:00Z,11,,
Q637949,Alphonso Taft,American diplomat (1810-1891),Q6581097,male,1810-11-05T00:00:00Z,11,1891-05-21T00:00:00Z,11
Q352125,Amos T. Akerman,United States Attorney General (1821-1880),Q6581097,male,1821-02-23T00:00:00Z,11,1880-12-21T00:00:00Z,11
Q504029,Andrew Card,"U.S. Secretary of Transportation, White House Chief of Staff",Q6581097,male,1947-05-10T00:00:00Z,11,,
Q11673,Andrew Cuomo,56th Governor of New York,Q6581097,male,1957-12-06T00:00:00Z,11,,
Q8612,Andrew Johnson,"American politician, 17th President of the United States (in office from 1865 to 1869)",Q6581097,male,1808-12-29T00:00:00Z,11,1875-07-31T00:00:00Z,11
Q368811,"Andrew L. Lewis, Jr.",American businessman (1931-2016),Q6581097,male,1931-11-03T00:00:00Z,11,2016-02-10T00:00:00Z,11
Q37936461,Andrew R. Wheeler,15th Administrator of the Environmental Protection Agency,Q6581097,male,1964-01-01T00:00:00Z,9,,
Q446858,Andrew W. Mellon,"American diplomat, banker, businessman, industrialist, philanthropist, and art collector (1855-1937)",Q6581097,male,1855-03-24T00:00:00Z,11,1937-08-26T00:00:00Z,11
Q959635,Andrew Young,"American politician, diplomat, activist and pastor from Georgia",Q6581097,male,1932-03-12T00:00:00Z,11,,
Q433650,Ann McLaughlin Korologos,American politician,Q6581072,female,1941-11-16T00:00:00Z,11,,
Q292936,Ann Veneman,Executive Director of UNICEF and United States Secretary of Agriculture,Q6581072,female,1949-06-29T00:00:00Z,11,,
Q565342,Anne Gorsuch Burford,American politician and attorney (1942-2004),Q6581072,female,1942-04-21T00:00:00Z,11,2004-07-18T00:00:00Z,11
Q433742,Anne W. Patterson,United States Department of State official and diplomat,Q6581072,female,1949-10-04T00:00:00Z,11,,
Q4772543,Anthony Foxx,17th United States Secretary of Transportation,Q6581097,male,1971-04-30T00:00:00Z,11,,
Q359333,Anthony J. Celebrezze,American politician (1910-1998),Q6581097,male,1910-09-04T00:00:00Z,11,1998-10-29T00:00:00Z,11
Q573825,Anthony Principi,4th United States Secretary of Veterans Affairs,Q6581097,male,1944-04-16T00:00:00Z,11,,
Q7821917,Antony Blinken,American government official and 71th U.S. Secretary of State,Q6581097,male,1962-04-16T00:00:00Z,11,,
Q349922,Arne Duncan,American educator,Q6581097,male,1964-11-06T00:00:00Z,11,,
Q709513,Arthur Goldberg,"American lawyer, politician and civil servant (1908-1990)",Q6581097,male,1908-08-08T00:00:00Z,11,1990-01-18T00:00:00Z,11
Q709513,Arthur Goldberg,"American lawyer, politician and civil servant (1908-1990)",Q6581097,male,1908-08-08T00:00:00Z,11,1990-01-19T00:00:00Z,11
Q710508,Arthur M. Hyde,American politician (1877-1947),Q6581097,male,1877-07-12T00:00:00Z,11,1947-10-17T00:00:00Z,11
Q709371,Arthur Sherwood Flemming,American academic and politician (1905-1996),Q6581097,male,1905-06-12T00:00:00Z,11,1996-09-07T00:00:00Z,11
Q4806029,Ashton Carter,United States Secretary of Defense,Q6581097,male,1954-09-24T00:00:00Z,11,,
Q770454,Augustus Hill Garland,American politician (1832-1899),Q6581097,male,1832-06-11T00:00:00Z,11,1899-01-26T00:00:00Z,11
Q14525857,Avril Haines,American intelligence official,Q6581072,female,1969-08-27T00:00:00Z,11,,
Q4833246,Aída Álvarez,Puerto Rican politician,Q6581072,female,1950-01-01T00:00:00Z,9,,
Q4834044,B. J. Penn,American government official,Q6581097,male,1938-04-02T00:00:00Z,11,,
Q708024,Bainbridge Colby,American politician (1869-1950),Q6581097,male,1869-12-22T00:00:00Z,11,1950-04-11T00:00:00Z,11
Q3500791,Barbara Barrett,American politician and diplomat,Q6581072,female,1950-12-26T00:00:00Z,11,,
Q816459,Ben Carson,17th United States Secretary of Housing and Urban Development; American neurosurgeon,Q6581097,male,1951-09-18T00:00:00Z,11,,
Q817531,Benjamin Bristow,"Union Army officer, lawyer, politician",Q6581097,male,1832-06-20T00:00:00Z,11,1896-06-22T00:00:00Z,11
Q351552,Benjamin Civiletti,American government official,Q6581097,male,1935-07-17T00:00:00Z,11,,
Q817486,Benjamin Franklin Butler,United States Attorney General (1795-1858),Q6581097,male,1795-12-17T00:00:00Z,11,1858-11-08T00:00:00Z,11
Q352343,Benjamin H. Brewster,American politician (1816-1888),Q6581097,male,1816-10-13T00:00:00Z,11,1888-04-04T00:00:00Z,11
Q817605,Benjamin Lincoln,Continental Army general (1733-1810),Q6581097,male,1733-01-24T00:00:00Z,11,1810-05-09T00:00:00Z,11
Q817705,Benjamin Stoddert,United States Secretary of the Navy (1751-1813),Q6581097,male,1751-01-01T00:00:00Z,9,1813-12-13T00:00:00Z,11
Q817746,Benjamin Williams Crowninshield,American politician (1772-1851),Q6581097,male,1772-12-27T00:00:00Z,11,1851-02-03T00:00:00Z,11
Q30375681,Bernard L. Boutin,American politician,Q6581097,male,1923-07-02T00:00:00Z,11,2011-08-24T00:00:00Z,11
Q4898286,Betsy DeVos,11th United States Secretary of Education,Q6581072,female,1958-01-08T00:00:00Z,11,,
Q311782,Bill Richardson,politician and governor from the United States,Q6581097,male,1947-11-15T00:00:00Z,11,,
Q4933628,Bob Perciasepe,American politician,Q6581097,male,1951-02-19T00:00:00Z,11,,
Q4963500,Brian D. Montgomery,American government official,Q6581097,male,1956-08-02T00:00:00Z,11,,
Q1659644,Brien McMahon,American politician (1903-1952),Q6581097,male,1903-10-06T00:00:00Z,11,1952-07-28T00:00:00Z,11
Q357718,Brock Adams,"American lawyer, politician (1927-2004)",Q6581097,male,1927-01-13T00:00:00Z,11,2004-09-10T00:00:00Z,11
Q878739,Bruce Babbitt,American lawyer and politician,Q6581097,male,1938-06-27T00:00:00Z,11,,
Q509225,C. Douglas Dillon,United States Navy officer (1909-2003),Q6581097,male,1909-08-21T00:00:00Z,11,2003-01-10T00:00:00Z,11
Q1025419,Caesar Augustus Rodney,American politician (1772-1824),Q6581097,male,1772-01-04T00:00:00Z,11,1824-06-10T00:00:00Z,11
Q177650,Caleb Cushing,American politician (1800-1879),Q6581097,male,1800-01-17T00:00:00Z,11,1879-01-02T00:00:00Z,11
Q36023,Calvin Coolidge,30th president of the United States (1872−1933),Q6581097,male,1872-07-04T00:00:00Z,11,1933-01-05T00:00:00Z,11
Q5026282,Cameron Kerry,American politician,Q6581097,male,1950-09-06T00:00:00Z,11,,
Q127437,Carl Schurz,"Union Army general, politician (1829-1906)",Q6581097,male,1829-03-02T00:00:00Z,11,1906-05-14T00:00:00Z,11
Q457445,Carla Anderson Hills,American lawyer and Secretary of Housing,Q6581072,female,1934-01-03T00:00:00Z,11,,
Q107195317,Carlos Del Toro,78th United States Secretary of the Navy,Q6581097,male,1961-01-01T00:00:00Z,9,,
Q741648,Carlos Gutierrez,35th United States Secretary of Commerce,Q6581097,male,1953-11-04T00:00:00Z,11,,
Q299576,Carol Browner,"American cabinet secretary, environmentalist, lawyer",Q6581072,female,1955-12-16T00:00:00Z,11,,
Q1045879,Carter Glass,American politician (1858-1946),Q6581097,male,1858-01-04T00:00:00Z,11,1946-05-28T00:00:00Z,11
Q434142,Caspar Weinberger,American politician (1917-2006),Q6581097,male,1917-08-18T00:00:00Z,11,2006-03-28T00:00:00Z,11
Q23663927,Cassius F. Butts,,Q6581097,male,1971-07-10T00:00:00Z,11,,
Q28469527,Catherine McCabe,American lawyer,Q6581072,female,,,,
Q372022,Cecil D. Andrus,American politician (1931-2017),Q6581097,male,1931-08-25T00:00:00Z,11,2017-08-24T00:00:00Z,11
Q616305,Cecilia Rouse,American economist,Q6581072,female,1963-12-18T00:00:00Z,11,,
Q72044313,Chad Wolf,American government official,Q6581097,male,1976-01-01T00:00:00Z,9,,
Q271023,Charles Curtis,"American politician, Vice-President of the United States from 1929–1933",Q6581097,male,1860-01-25T00:00:00Z,11,1936-02-08T00:00:00Z,11
Q352136,Charles Devens,Union Army General (1820-1891),Q6581097,male,1820-04-04T00:00:00Z,11,1891-01-07T00:00:00Z,11
Q1066337,"Charles Duncan, Jr.",U.S. Secretary of Energy,Q6581097,male,1926-09-09T00:00:00Z,11,,
Q881295,Charles Edison,American politician (1890-1969),Q6581097,male,1890-08-03T00:00:00Z,11,1969-07-31T00:00:00Z,11
Q1064288,Charles Erwin Wilson,American secretary of Defence (1890-1961),Q6581097,male,1890-07-18T00:00:00Z,11,1961-09-26T00:00:00Z,11
Q313252,Charles Evans Hughes,American judge (1862-1948),Q6581097,male,1862-04-11T00:00:00Z,11,1948-08-27T00:00:00Z,11
Q372727,Charles F. Brannan,American politician (1903-1992),Q6581097,male,1903-08-23T00:00:00Z,11,1992-07-02T00:00:00Z,11
Q2967584,Charles F. Conner,American government official,Q6581097,male,1957-12-30T00:00:00Z,11,,
Q720584,Charles Foster,35th Governor of Ohio and 40th Secretary of the Treasury (1828-1904),Q6581097,male,1828-04-12T00:00:00Z,11,1904-01-09T00:00:00Z,11
Q382352,Charles Francis Adams III,Secretary of the Navy (1866-1954),Q6581097,male,1866-08-02T00:00:00Z,11,1954-06-10T00:00:00Z,11
Q184565,Charles G. Dawes,30th Vice President of the United States (1865-1951),Q6581097,male,1865-08-27T00:00:00Z,11,1951-04-23T00:00:00Z,11
Q1065003,Charles J. Folger,American politician (1818-1884),Q6581097,male,1818-04-16T00:00:00Z,11,1884-09-04T00:00:00Z,11
Q919015,Charles Joseph Bonaparte,American lawyer (1851-1921),Q6581097,male,1851-06-09T00:00:00Z,11,1921-06-28T00:00:00Z,11
Q724252,Charles Lee,American lawyer (1758-1815),Q6581097,male,1758-01-01T00:00:00Z,9,1815-06-24T00:00:00Z,11
Q1065426,Charles Magill Conrad,American politician (1804-1878),Q6581097,male,1804-12-24T00:00:00Z,11,1878-02-11T00:00:00Z,11
Q1065984,Charles Stebbins Fairchild,"American lawyer, politician",Q6581097,male,1842-04-30T00:00:00Z,11,1924-11-24T00:00:00Z,11
Q270539,Charles W. Fairbanks,"American politician, Senator, later Vice-President of the US",Q6581097,male,1852-05-11T00:00:00Z,11,1918-06-04T00:00:00Z,11
Q977204,Charles W. Sawyer,American politician,Q6581097,male,1887-02-10T00:00:00Z,11,1979-04-07T00:00:00Z,11
Q1066494,Charles Woodruff Yost,American diplomat,Q6581097,male,1907-11-06T00:00:00Z,11,1981-05-21T00:00:00Z,11
Q1066494,Charles Woodruff Yost,American diplomat,Q6581097,male,1907-11-06T00:00:00Z,11,1981-05-22T00:00:00Z,11
Q105754549,Charlotte Bertrand,,Q6581072,female,,,,
Q35498,Chester A. Arthur,"American politician, 21st President of the United States (in office from 1881 to 1885)",Q6581097,male,1829-10-05T00:00:00Z,11,1886-11-18T00:00:00Z,11
Q63456197,Chris Pilkerton,,Q6581097,male,1973-01-01T00:00:00Z,9,,
Q240274,Christian Herter,American politician (1895-1966),Q6581097,male,1895-03-28T00:00:00Z,11,1966-12-30T00:00:00Z,11
Q435267,Christine Todd Whitman,American politician,Q6581072,female,1946-09-26T00:00:00Z,11,,
Q101423348,Christopher C. Miller,acting U.S. Secretary of Defense during the last months of the Trump administration,Q6581097,male,1965-10-15T00:00:00Z,11,,
Q381670,Chuck Hagel,United States Secretary of Defense,Q6581097,male,1946-10-04T00:00:00Z,11,,
Q386798,Clark Clifford,American secretary of defense (1906-1998),Q6581097,male,1906-12-25T00:00:00Z,11,1998-10-10T00:00:00Z,11
Q1096555,Claude Brinegar,American government official (1926-2009),Q6581097,male,1926-12-16T00:00:00Z,11,2009-03-13T00:00:00Z,11
Q376765,Clayton Keith Yeutter,Secretary of Agriculture and chairman of the Republican National Committee (1930-2017),Q6581097,male,1930-12-10T00:00:00Z,11,2017-03-04T00:00:00Z,11
Q1101295,"Clifford Alexander, Jr.","Lawyer, businessman, public servant",Q6581097,male,1933-09-21T00:00:00Z,11,,
Q1101308,Clifford M. Hardin,American politician,Q6581097,male,1915-10-09T00:00:00Z,11,2010-04-04T00:00:00Z,11
Q464733,Clinton Presba Anderson,American politician,Q6581097,male,1895-10-23T00:00:00Z,11,1975-11-11T00:00:00Z,11
Q150851,Colin Powell,former U.S. Secretary of State and retired four-star general,Q6581097,male,1937-04-05T00:00:00Z,11,,
Q326150,Columbus Delano,American politician (1809-1896),Q6581097,male,1809-06-04T00:00:00Z,11,1896-10-23T00:00:00Z,11
Q47216,Condoleezza Rice,American Republican politician; U.S. Secretary of State; political scientist,Q6581072,female,1954-11-14T00:00:00Z,11,,
Q202979,Cordell Hull,"American politician, U.S. Secretary of State from 1933 to 1944",Q6581097,male,1871-10-02T00:00:00Z,11,1955-07-23T00:00:00Z,11
Q382782,Cornelius Newton Bliss,"American merchant, politician and art collector",Q6581097,male,1833-01-26T00:00:00Z,11,1911-10-09T00:00:00Z,11
Q28543103,Craig Clemmensen,politician,Q6581097,male,,,,
Q1148985,Cyrus Rowlett Smith,United States Army general (1899-1990),Q6581097,male,1899-09-09T00:00:00Z,11,1990-04-04T00:00:00Z,11
Q296661,Cyrus Vance,United States Secretary of State from 1977 to 1980,Q6581097,male,1917-03-27T00:00:00Z,11,2002-01-12T00:00:00Z,11
Q632321,Dan Coats,"5th Director of National Intelligence, former United States Senator from Indiana",Q6581097,male,1943-05-16T00:00:00Z,11,,
Q370213,Dan Glickman,American businessman and politician,Q6581097,male,1944-11-24T00:00:00Z,11,,
Q49214,Dan Quayle,"American politician, lawyer",Q6581097,male,1947-02-04T00:00:00Z,11,,
Q29453265,Dan R. Brouillette,15th United States Secretary of Energy,Q6581097,male,1947-09-14T00:00:00Z,11,,
Q17989631,Dana Boente,American lawyer,Q6581097,male,1954-02-07T00:00:00Z,11,,
Q375381,Daniel C. Roper,American politician (1867-1943),Q6581097,male,1867-04-01T00:00:00Z,11,1943-04-11T00:00:00Z,11
Q223545,Daniel D. Tompkins,American politician; sixth vice president of the United States (1774-1825),Q6581097,male,1774-06-21T00:00:00Z,11,1825-06-11T00:00:00Z,11
Q1161665,Daniel Manning,American businessman (1831-1887),Q6581097,male,1831-05-16T00:00:00Z,11,1887-12-24T00:00:00Z,11
Q1161665,Daniel Manning,American businessman (1831-1887),Q6581097,male,1831-08-16T00:00:00Z,11,1887-12-24T00:00:00Z,11
Q5218466,Daniel Poneman,American Secretary of Enrgy,Q6581097,male,1956-03-12T00:00:00Z,11,,
Q723130,Daniel S. Lamont,American politician (1851-1905),Q6581097,male,1851-02-09T00:00:00Z,11,1905-07-23T00:00:00Z,11
Q106231,Daniel Webster,14th and 19th United States Secretary of State (1782–1852),Q6581097,male,1782-01-18T00:00:00Z,11,1852-10-25T00:00:00Z,11
Q105069464,Dat Tran,American civil servant,Q6581097,male,,,,
Q1174390,David Franklin Houston,"American academic, businessman and politician (1866-1940)",Q6581097,male,1866-02-17T00:00:00Z,11,1940-09-02T00:00:00Z,11
Q5234213,David Gompert,Director of National Intelligence,Q6581097,male,1945-01-01T00:00:00Z,9,,
Q5234213,David Gompert,Director of National Intelligence,Q6581097,male,1945-10-06T00:00:00Z,11,,
Q373104,David Henshaw,American politician (1791-1852),Q6581097,male,1791-04-02T00:00:00Z,11,1852-11-11T00:00:00Z,11
Q104936878,David Huizenga,American civil servant,Q6581097,male,,,,
Q29918896,David L. Bernhardt,53rd United States Secretary of the Interior,Q6581097,male,1969-08-17T00:00:00Z,11,,
Q1175386,David M. Kennedy,American diplomat (1905-1996),Q6581097,male,1905-07-21T00:00:00Z,11,1996-05-01T00:00:00Z,11
Q5238485,David Pekoske,26th Vice-Commandant of the United States Coast Guard,Q6581097,male,1955-05-05T00:00:00Z,11,,
Q5239766,David Shulkin,9th United States Secretary of Veterans Affairs,Q6581097,male,1959-07-22T00:00:00Z,11,,
Q214758,Dean Acheson,American statesman and lawyer (1893-1971),Q6581097,male,1893-04-11T00:00:00Z,11,1971-10-12T00:00:00Z,11
Q313258,Dean Rusk,United States Secretary of State (1909-1994),Q6581097,male,1909-02-09T00:00:00Z,11,1994-12-20T00:00:00Z,11
Q54860790,Deb Haaland,American politician from New Mexico; 54th U.S. Secretary of the Interior,Q6581072,female,1960-12-02T00:00:00Z,11,,
Q16189325,Deborah Lee James,United States Secretary of the Air Force,Q6581072,female,1958-11-25T00:00:00Z,11,,
Q3702047,Denis McDonough,American government official,Q6581097,male,1969-12-02T00:00:00Z,11,,
Q1189023,Dennis C. Blair,United States admiral,Q6581097,male,1947-02-04T00:00:00Z,11,,
Q48259,Dick Cheney,46th Vice President of the United States,Q6581097,male,1941-01-30T00:00:00Z,11,,
Q885091,Dick Thornburgh,American politician,Q6581097,male,1932-07-16T00:00:00Z,11,2020-12-31T00:00:00Z,11
Q737493,Dirk Kempthorne,49th United States Secretary of the Interior,Q6581097,male,1951-10-29T00:00:00Z,11,,
Q41418906,Don J. Wright,American physician and government official,Q6581097,male,1950-01-01T00:00:00Z,7,,
Q1239753,Donald C. Winter,United States Secretaries of the Navy,Q6581097,male,1948-06-15T00:00:00Z,11,,
Q1240095,Donald Evans,American cabinet official,Q6581097,male,1946-07-27T00:00:00Z,11,,
Q1240215,Donald P. Hodel,American government official,Q6581097,male,1935-05-23T00:00:00Z,11,,
Q1240286,Donald Regan,American cabinet official,Q6581097,male,1918-12-21T00:00:00Z,11,2003-06-10T00:00:00Z,11
Q5295059,Donald Rice,"Seventeenth Secretary of the Air Force, USA",Q6581097,male,1939-06-04T00:00:00Z,11,,
Q184650,Donald Rumsfeld,"American politician and businessman, U.S. Secretary of Defense",Q6581097,male,1932-07-09T00:00:00Z,11,2021-06-29T00:00:00Z,11
Q292569,Donna Shalala,18th United States Secretary of Health and Human Services,Q6581072,female,1941-02-14T00:00:00Z,11,,
Q5301748,Douglas M. Costle,American politician,Q6581097,male,1939-07-27T00:00:00Z,11,2019-01-13T00:00:00Z,11
Q5311824,Dudley C. Sharp,Asst. Sec. of the Air Force for Materiel under Pres. Eisenhower; son of American businessman Walter Benona Sharp,Q6581097,male,1905-03-16T00:00:00Z,11,1987-05-17T00:00:00Z,11
Q53403,Dwight Filley Davis Sr.,American politician and tennis player (1879-1945),Q6581097,male,1879-07-05T00:00:00Z,11,1945-11-28T00:00:00Z,11
Q1030299,Earl Butz,American government official (1909-2008),Q6581097,male,1909-07-03T00:00:00Z,11,2008-02-02T00:00:00Z,11
Q724521,Ebenezer R. Hoar,"American lawyer, judge, and politician (1816-1895)",Q6581097,male,1816-02-21T00:00:00Z,11,1895-01-31T00:00:00Z,11
Q546986,Ed Derwinski,American politician (1926-2012),Q6581097,male,1926-09-15T00:00:00Z,11,2012-01-15T00:00:00Z,11
Q887102,Ed Schafer,29th United States Secretary of Agriculture,Q6581097,male,1946-08-08T00:00:00Z,11,,
Q319867,Edmund Muskie,United States politician (1914-1996),Q6581097,male,1914-03-28T00:00:00Z,11,1996-03-26T00:00:00Z,11
Q318703,Edmund Randolph,American attorney (1753-1813),Q6581097,male,1753-08-10T00:00:00Z,11,1813-09-12T00:00:00Z,11
Q318703,Edmund Randolph,American attorney (1753-1813),Q6581097,male,1753-08-10T00:00:00Z,11,1813-09-13T00:00:00Z,11
Q1291670,Edward Bates,"American politician, lawyer and judge (1793-1869)",Q6581097,male,1793-09-04T00:00:00Z,11,1869-03-25T00:00:00Z,11
Q5342126,"Edward C. Aldridge, Jr.",former U.S. Department of Defense official and defense industry executive,Q6581097,male,1938-08-18T00:00:00Z,11,,
Q5342139,Edward C. Hugler,American government official,Q6581097,male,1950-02-07T00:00:00Z,11,,
Q434905,Edward Everett,"American politician, orator, statesman (1794-1865)",Q6581097,male,1794-04-11T00:00:00Z,11,1865-01-15T00:00:00Z,11
Q1292438,Edward H. Levi,Jewish American politician (1911-2000),Q6581097,male,1911-06-26T00:00:00Z,11,2000-03-07T00:00:00Z,11
Q1292540,Edward Hidalgo,American politician (1912-1995),Q6581097,male,1912-10-12T00:00:00Z,11,1995-01-21T00:00:00Z,11
Q518323,Edward J. Perkins,"luminary U.S. diplomat, one of first Blacks to hold senior posts in the State Department",Q6581097,male,1928-06-08T00:00:00Z,11,2020-11-07T00:00:00Z,11
Q544396,Edward Livingston,American jurist and statesman (1764-1836),Q6581097,male,1764-05-28T00:00:00Z,11,1836-05-23T00:00:00Z,11
Q362118,"Edward Reilly Stettinius, Jr.","American diplomat, ran Lend Lease (1900-1949)",Q6581097,male,1900-10-22T00:00:00Z,11,1949-10-31T00:00:00Z,11
Q936877,Edwards Pierrepont,"American politician, lawyer and United States Attorney General (1817-1892)",Q6581097,male,1817-03-04T00:00:00Z,11,1892-03-06T00:00:00Z,11
Q5346174,"Edwin ""Pa"" Watson",Personal Secretary to the President of the United States,Q6581097,male,1883-12-10T00:00:00Z,11,1945-02-20T00:00:00Z,11
Q962646,Edwin Denby,American politician (1870-1929),Q6581097,male,1870-02-18T00:00:00Z,11,1929-02-08T00:00:00Z,11
Q448803,Edwin M. Stanton,"American lawyer, judge and politician (1814-1869)",Q6581097,male,1814-12-19T00:00:00Z,11,1869-12-24T00:00:00Z,11
Q709641,Edwin Meese,American presidential advisor,Q6581097,male,1931-12-02T00:00:00Z,11,,
Q255716,Edwin T. Meredith,American businessman (1876-1928),Q6581097,male,1876-12-23T00:00:00Z,11,1928-06-17T00:00:00Z,11
Q5347992,Egil Krogh,American lawyer involved in the Watergate scandal,Q6581097,male,1939-08-03T00:00:00Z,11,2020-01-18T00:00:00Z,11
Q263322,Elaine Chao,18th United States Secretary of Transporation and 24th United States Secretary of Labor,Q6581072,female,1953-03-26T00:00:00Z,11,,
Q28839617,Elaine Duke,American civil servant,Q6581072,female,1958-06-26T00:00:00Z,11,,
Q219797,Elbridge Gerry,US diplomat and vice president; Massachusetts governor (1744-1814),Q6581097,male,1744-07-17T00:00:00Z,11,1814-11-23T00:00:00Z,11
Q731492,Elihu B. Washburne,American politician and diplomat (1816-1887),Q6581097,male,1816-09-23T00:00:00Z,11,1887-10-22T00:00:00Z,11
Q731492,Elihu B. Washburne,American politician and diplomat (1816-1887),Q6581097,male,1816-09-23T00:00:00Z,11,1887-10-23T00:00:00Z,11
Q220619,Elihu Root,American politician (1845-1937),Q6581097,male,1845-02-15T00:00:00Z,11,1937-02-07T00:00:00Z,11
Q239571,Elizabeth Dole,American politician,Q6581072,female,1936-07-29T00:00:00Z,11,,
Q719808,Elliot Richardson,American lawyer and politician (1920-1999),Q6581097,male,1920-07-20T00:00:00Z,11,1999-12-31T00:00:00Z,11
Q1334312,"Elvis Jacob Stahr, Jr.",American government official and college president,Q6581097,male,1916-03-09T00:00:00Z,11,1998-11-11T00:00:00Z,11
Q13534694,Eric Fanning,acting United States Secretary of the Air Force,Q6581097,male,1968-07-02T00:00:00Z,11,,
Q5386667,Eric Hargan,American civil servant,Q6581097,male,1968-06-03T00:00:00Z,11,,
Q312644,Eric Holder,American lawyer and politician,Q6581097,male,1951-01-21T00:00:00Z,11,,
Q970550,Eric Lander,American academic,Q6581097,male,1957-02-03T00:00:00Z,11,,
Q373274,Eric Shinseki,"retired United States Army four-star general, seventh United States Secretary of Veterans Affairs",Q6581097,male,1942-11-28T00:00:00Z,11,,
Q5393576,Ernest Moniz,13th United States Secretary of Energy,Q6581097,male,1944-12-22T00:00:00Z,11,,
Q731097,Erskine Bowles,American businessman,Q6581097,male,1945-08-08T00:00:00Z,11,,
Q374976,Ethan A. Hitchcock,American diplomat,Q6581097,male,1835-09-19T00:00:00Z,11,1909-04-09T00:00:00Z,11
Q1373143,Eugene M. Zuckert,US secretary of the Air force,Q6581097,male,1911-11-09T00:00:00Z,11,2000-06-05T00:00:00Z,11
Q30334345,Eugene P. Foley,,Q6581097,male,1928-11-22T00:00:00Z,11,2015-12-30T00:00:00Z,11
Q16875330,Eugene Scalia,American lawyer,Q6581097,male,1963-08-14T00:00:00Z,11,,
Q1386097,Ezra Taft Benson,President of The Church of Jesus Christ of Latter-day Saints (1899-1994),Q6581097,male,1899-08-04T00:00:00Z,11,1994-05-30T00:00:00Z,11
Q376103,F. David Mathews,American academic and politician,Q6581097,male,1935-12-06T00:00:00Z,11,,
Q5424107,F. Whitten Peters,American lawyer,Q6581097,male,1946-08-29T00:00:00Z,11,,
Q1400546,Federico Peña,"U.S. Secretary of Transportation, 1993-1997",Q6581097,male,1947-01-01T00:00:00Z,9,,
