item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q273549,Alben W. Barkley,Q11699,Vice President of the United States,1949-01-20T00:00:00Z,1953-01-20T00:00:00Z,,,35,,,Q9588,Richard Nixon,,,,,,Q273549-605EA131-3E4E-4FF4-B691-864FFF01354B
Q1397640,Albert B. Fall,Q2287650,United States Secretary of the Interior,1921-03-05T00:00:00Z,1923-03-04T00:00:00Z,,,28,Q1699281,John Barton Payne,Q368717,Hubert Work,,,,,,Q1397640-77AFD644-48CD-4AE8-8841-4E3CFD3F5E42
Q500046,Albert Gallatin,Q4215834,United States Secretary of the Treasury,1801-05-14T00:00:00Z,1814-02-08T00:00:00Z,,,4,Q594570,Samuel Dexter,Q769752,George W. Campbell,,,,,,Q500046-915EFBE3-24ED-4C1B-A66E-962A36815BA9
Q202350,Alberto Gonzales,Q636207,United States Attorney General,2005-02-03T00:00:00Z,2007-09-17T00:00:00Z,,,80,Q311141,John Ashcroft,Q1356377,Paul Clement,,,,,,Q202350-3C36BC96-89A9-46B2-AEB3-D2DD2AE28AE8
Q4714600,Alejandro Mayorkas,Q642859,United States Secretary of Homeland Security,2021-02-02T00:00:00Z,,,,,Q5238485,David Pekoske,,,,,https://www.whitehouse.gov/administration/cabinet/,Alejandro Mayorkas,Secretary of Homeland Security,Q4714600-ae091140-473e-1f43-df14-34023278230e
Q4716651,Alex Azar,Q2305968,United States Secretary of Health and Human Services,2018-01-29T00:00:00Z,2021-01-20T00:00:00Z,,,,Q1415243,Tom Price,Q1855840,Xavier Becerra,,,https://www.opensecrets.org/revolving/rev_summary.php?id=70215,,,Q4716651-7f5989d6-4b53-9c04-e80d-dc135b39a8d8
Q7273452,Alexander Acosta,Q967750,United States Secretary of Labor,2017-04-28T00:00:00Z,2019-07-19T00:00:00Z,,,,Q5342139,Edward C. Hugler,Q30349466,Patrick Pizzella,,,,,,Q7273452-f289c234-4d8d-ab9f-c41c-9174b89aa480
Q107957,Alexander Haig,Q14213,United States Secretary of State,1981-01-22T00:00:00Z,1982-07-05T00:00:00Z,,,59,Q671393,David D. Newsom,Q822380,Walter John Stoessel,,,,,,Q107957-C1418563-D536-457F-8F6B-ED9D368CFF15
Q107957,Alexander Haig,Q786242,White House Chief of Staff,1973-05-04T00:00:00Z,1974-09-21T00:00:00Z,,,,Q958413,Harry Robbins Haldeman,Q184650,Donald Rumsfeld,,,,,,Q107957-8E6E142C-D11A-4AEF-8105-8E9E3DDDD7C7
Q178903,Alexander Hamilton,Q4215834,United States Secretary of the Treasury,1789-09-11T00:00:00Z,1795-01-31T00:00:00Z,,,1,,,Q452104,Oliver Wolcott,,,,,,q178903-dbdef960-4ea0-94f4-1a46-438965bf745d
Q372743,Alexander Hugh Holmes Stuart,Q2287650,United States Secretary of the Interior,1850-09-14T00:00:00Z,1853-03-07T00:00:00Z,,,3,Q375347,Thomas McKean Thompson McKennan,Q283369,Robert McClelland,,,,,,Q372743-8bb11407-40ce-ead6-c090-81757bf51779
Q1335536,Alexander J. Dallas,Q4215834,United States Secretary of the Treasury,1814-10-06T00:00:00Z,1816-10-21T00:00:00Z,,,6,Q769752,George W. Campbell,Q175877,William H. Crawford,,,,,,Q1335536-83C4E705-1CB1-4256-92E1-4687DBD50F62
Q1354363,Alexander Mitchell Palmer,Q636207,United States Attorney General,1919-03-05T00:00:00Z,1921-03-04T00:00:00Z,,,50,Q351938,Thomas Watt Gregory,Q351931,Harry Micajah Daugherty,,,,,,Q1354363-4685b176-4910-6e99-60f8-7703eb6ad403
Q748989,Alexander Ramsey,Q2419102,United States Secretary of War,1879-12-10T00:00:00Z,1881-03-05T00:00:00Z,,,34,Q720251,George W. McCrary,Q435793,Robert Todd Lincoln,,,,,,Q748989-0AEAC0C4-C23A-4903-BB25-3C9C4D9EB55D
Q924949,Alexander Trowbridge,Q2003296,United States Secretary of Commerce,,,,,,,,,,,,,,,Q924949-d8322a49-0119-4858-8fc8-4213e65ca287
Q292340,Alexis Herman,Q967750,United States Secretary of Labor,1997-05-01T00:00:00Z,2001-01-20T00:00:00Z,,,,Q718828,Robert Reich,Q263322,Elaine Chao,,,,,,Q292340-39B85F78-EBDA-443B-BA2D-96ED35F08AD9
Q324505,Alphonso Jackson,Q2419581,United States Secretary of Housing and Urban Development,2003-11-01T00:00:00Z,2004-08-01T00:00:00Z,,,,Q435010,Mel Martínez,Q324505,Alphonso Jackson,Q4676846,acting,,,,Q324505-f47d15a2-4854-44b2-c84f-bf6991ef3964
Q324505,Alphonso Jackson,Q2419581,United States Secretary of Housing and Urban Development,2004-08-01T00:00:00Z,2008-04-18T00:00:00Z,,,,Q324505,Alphonso Jackson,Q3445744,Roy Bernardi,,,,,,Q324505-24197297-58e9-4b57-8982-84c9936886ee
Q637949,Alphonso Taft,Q636207,United States Attorney General,1876-05-22T00:00:00Z,1877-03-04T00:00:00Z,,,34,Q936877,Edwards Pierrepont,Q352136,Charles Devens,,,,,,Q637949-0B4EC34B-E9C5-4FC7-9E8E-A1B3FBB1D1FF
Q637949,Alphonso Taft,Q2419102,United States Secretary of War,1876-03-08T00:00:00Z,1876-05-22T00:00:00Z,,,31,Q706248,William W. Belknap,Q1680285,J. Donald Cameron,,,,,,Q637949-9702A91F-4B49-4688-9BC2-E9EA00194047
Q3424605,Alvey A. Adee,Q14213,United States Secretary of State,1898-09-17T00:00:00Z,1898-09-29T00:00:00Z,,,,Q707528,William R. Day,Q117101,John Hay,,,,,,Q3424605-342ea82a-41c6-79fc-580a-8c4d37d29f8b
Q352125,Amos T. Akerman,Q636207,United States Attorney General,1870-11-23T00:00:00Z,1871-12-13T00:00:00Z,,,31,Q724521,Ebenezer R. Hoar,Q725008,George Henry Williams,,,,,,Q352125-5AB971E3-A310-4975-833A-B30DCB6B2020
Q504029,Andrew Card,Q967737,United States Secretary of Transportation,1992-02-24T00:00:00Z,1993-01-20T00:00:00Z,,,11,Q464774,Samuel K. Skinner,Q1400546,Federico Peña,,,,,,Q504029-30ED75DB-3281-4318-8B52-C36ECC79256E
Q504029,Andrew Card,Q786242,White House Chief of Staff,2001-01-20T00:00:00Z,2006-04-14T00:00:00Z,,,,Q1290476,John Podesta,Q649653,Joshua Bolten,,,,,,Q504029-228EC69F-65A9-4E99-8493-DFA5A62F069A
Q11673,Andrew Cuomo,Q2419581,United States Secretary of Housing and Urban Development,1997-01-29T00:00:00Z,2001-01-20T00:00:00Z,,,11,Q1606601,Henry Cisneros,Q435010,Mel Martínez,,,,,,Q11673-3F37ABA8-E5AA-43FB-BDAA-026BC8DF2AC1
Q8612,Andrew Johnson,Q11699,Vice President of the United States,1865-03-04T00:00:00Z,1865-04-15T00:00:00Z,,,16,Q273546,Hannibal Hamlin,Q310852,Schuyler Colfax,,,,,,Q8612-7D645A46-2FAF-4FB2-AF60-A0B68BE28371
Q368811,"Andrew L. Lewis, Jr.",Q967737,United States Secretary of Transportation,,,,,,,,,,,,,,,Q368811-0D78F6F6-4C7A-417A-95B9-80ABE60C7F2E
Q37936461,Andrew R. Wheeler,Q2087596,Administrator of the Environmental Protection Agency,2018-07-09T00:00:00Z,2019-02-28T00:00:00Z,,,,Q7437083,Scott Pruitt,Q37936461,Andrew R. Wheeler,Q4676846,acting,,,,Q37936461-c528ef54-4634-2df3-8f8d-a9f479b2fe9c
Q37936461,Andrew R. Wheeler,Q2087596,Administrator of the Environmental Protection Agency,2019-02-28T00:00:00Z,2021-01-20T00:00:00Z,,,,Q37936461,Andrew R. Wheeler,Q105754549,Charlotte Bertrand,,,,,,Q37936461-f63859bf-2204-44fc-82d4-508e9d76d9ba
Q446858,Andrew W. Mellon,Q4215834,United States Secretary of the Treasury,1921-03-09T00:00:00Z,1932-02-12T00:00:00Z,,,,Q1174390,David Franklin Houston,Q1370873,Ogden L. Mills,,,,,,Q446858-A99E8DB8-AF06-4AF7-B52C-74EE5F1ED8A0
Q959635,Andrew Young,Q1785225,United States Ambassador to the United Nations,1977-01-01T00:00:00Z,1979-01-01T00:00:00Z,,,,,,,,,,,,,Q959635-c590b84a-44bf-7c89-6fbe-a66dcb349750
Q104923417,Andy Baukol,Q4215834,United States Secretary of the Treasury,2021-01-20T00:00:00Z,2021-01-26T00:00:00Z,,,,Q24248265,Steven Mnuchin,Q263725,Janet Yellen,,,,,,Q104923417-F91EFE51-D925-467C-B47F-77B715C0ABB7
Q433650,Ann McLaughlin Korologos,Q967750,United States Secretary of Labor,,,,,,,,,,,,,,,Q433650-1108BD33-DB0B-45DD-91E8-A0412B792AA6
Q292936,Ann Veneman,Q1029955,United States Secretary of Agriculture,2001-01-20T00:00:00Z,2005-01-20T00:00:00Z,,,27,Q370213,Dan Glickman,Q448880,Mike Johanns,,,,,,Q292936-F4028A31-AEA8-4A82-A615-8ACDEA3BDF42
Q565342,Anne Gorsuch Burford,Q2087596,Administrator of the Environmental Protection Agency,1981-05-20T00:00:00Z,1983-03-09T00:00:00Z,,,,,,Q464554,William Ruckelshaus,,,,,,Q565342-8E8AF9C0-0CB7-45BC-A2F0-B7879E8C60A4
Q433742,Anne W. Patterson,Q1785225,United States Ambassador to the United Nations,2005-01-20T00:00:00Z,2005-08-01T00:00:00Z,,,,,,,,,,,,,Q433742-7B11A204-C153-48B5-8783-1D97CEEA0653
Q4772543,Anthony Foxx,Q967737,United States Secretary of Transportation,2013-07-02T00:00:00Z,2017-01-20T00:00:00Z,,,17,Q467891,Ray LaHood,Q263322,Elaine Chao,,,,,,q4772543-0ed18749-4625-412b-0212-6f01a8834b0d
Q359333,Anthony J. Celebrezze,Q3310559,"United States Secretary of Health, Education, and Welfare",1962-07-31T00:00:00Z,1965-08-17T00:00:00Z,,,5,Q323417,Abraham A. Ribicoff,Q445258,John W. Gardner,,,,,,Q359333-7385123A-F297-45BC-A9E6-683C442F3D0D
Q573825,Anthony Principi,Q1658460,United States Secretary of Veterans Affairs,1992-09-26T00:00:00Z,1993-01-20T00:00:00Z,,,,Q546986,Ed Derwinski,Q1386815,Jesse Brown,Q4676846,acting,,,,Q573825-3116282D-EB0D-4DE5-9635-9EBA1350CB5D
Q573825,Anthony Principi,Q1658460,United States Secretary of Veterans Affairs,2001-01-23T00:00:00Z,2005-01-26T00:00:00Z,,,,Q937285,Hershel W. Gober,Q1288295,Jim Nicholson,,,,,,Q573825-E4B39A6D-1FD4-4D46-98B9-78AEF06E8681
Q7821917,Antony Blinken,Q14213,United States Secretary of State,2021-01-26T00:00:00Z,,,,71,Q30106114,Daniel Bennett Smith,,,,,https://apnews.com/article/joe-biden-donald-trump-biden-cabinet-antony-blinken-cabinets-d74929057a9e8e5f74e0ee553a6baced,,,Q7821917-cc066559-44c8-d8fe-95ec-f5fcdcf6d89f
Q7821917,Antony Blinken,Q14213,United States Secretary of State,2021-01-26T00:00:00Z,,,,71,Q30106114,Daniel Bennett Smith,,,,,https://www.whitehouse.gov/administration/cabinet/,Antony Blinken,Secretary of State,Q7821917-cc066559-44c8-d8fe-95ec-f5fcdcf6d89f
Q349922,Arne Duncan,Q967762,United States Secretary of Education,,,,,,,,,,,,,,,Q349922-D220DB06-9D3C-443B-A62E-4A3CEEC4C8D1
Q709513,Arthur Goldberg,Q1785225,United States Ambassador to the United Nations,1965-07-28T00:00:00Z,1968-06-24T00:00:00Z,,,6,Q311719,Adlai Stevenson II,Q997635,George Ball,,,,,,Q709513-5EAB70D1-D9BF-4E35-8C9C-4B255D1EFFA1
Q709513,Arthur Goldberg,Q967750,United States Secretary of Labor,1961-01-21T00:00:00Z,1962-09-20T00:00:00Z,,,9,Q456907,James P. Mitchell,Q597813,W. Willard Wirtz,,,,,,Q709513-CB99B2E4-67DE-406E-8BA3-8A3DAF97E33C
Q710508,Arthur M. Hyde,Q1029955,United States Secretary of Agriculture,1929-03-06T00:00:00Z,1933-03-04T00:00:00Z,,,10,Q464480,William Marion Jardine,Q251666,Henry A. Wallace,,,,,,Q710508-A50E8DDA-3D16-4BD5-BD43-45D1017C782E
Q709371,Arthur Sherwood Flemming,Q3310559,"United States Secretary of Health, Education, and Welfare",1958-08-01T00:00:00Z,1961-01-19T00:00:00Z,,,,Q1498598,Marion B. Folsom,Q323417,Abraham A. Ribicoff,,,,,,Q709371-efc203bc-7c83-44c2-a24e-ae5ab0e5273f
Q4806029,Ashton Carter,Q735015,United States Secretary of Defense,2015-02-17T00:00:00Z,2017-01-19T00:00:00Z,,,,Q381670,Chuck Hagel,Q267902,James Mattis,,,,,,Q4806029-056FB6BE-DB52-4EC2-90A6-89F199978B87
Q770454,Augustus Hill Garland,Q636207,United States Attorney General,1885-03-06T00:00:00Z,1889-03-04T00:00:00Z,,,38,Q352343,Benjamin H. Brewster,Q725861,William H. H. Miller,,,,,,Q770454-0A3F46D3-3C4B-4715-99D8-DF9F6BE922FB
Q14525857,Avril Haines,Q1154057,Director of National Intelligence,2021-01-21T00:00:00Z,,,,,Q16980175,John Ratcliffe,,,,,https://www.whitehouse.gov/administration/cabinet/,,Director of National Intelligence,Q14525857-320d50a1-416f-0f2a-b77c-8fb5212e257a
Q4833246,Aída Álvarez,Q15623718,Administrator of the Small Business Administration,,,,,,,,,,,,,,,Q4833246-ec8c809f-e9c3-4527-b7ca-fcfe522b879a
Q4834044,B. J. Penn,Q940135,United States Secretary of the Navy,,,,,,,,,,,,,,,Q4834044-4b4e5b22-5c9d-4b7c-b55d-8a460874f16d
Q708024,Bainbridge Colby,Q14213,United States Secretary of State,1920-03-23T00:00:00Z,1921-03-04T00:00:00Z,,,43,Q1814120,Frank Polk,Q313252,Charles Evans Hughes,,,,,,Q708024-d83ccac0-4d75-1536-b0e8-cbbed972b5a4
Q3500791,Barbara Barrett,Q261746,United States Secretary of the Air Force,,,,,,,,,,,,,,,Q3500791-fe9bd064-7954-4976-b1e8-e3a8cd030795
Q816459,Ben Carson,Q2419581,United States Secretary of Housing and Urban Development,2017-03-02T00:00:00Z,2021-01-20T00:00:00Z,,,,Q28543103,Craig Clemmensen,Q104936860,Matt Ammon,,,,,,Q816459-685cb4f9-4483-03d0-7cf4-9e33416f741c
Q817531,Benjamin Bristow,Q4215834,United States Secretary of the Treasury,1874-06-04T00:00:00Z,1876-06-20T00:00:00Z,,,30,Q1711147,William Adams Richardson,Q580974,Lot M. Morrill,,,,,,Q817531-644BA0F5-D74A-46F9-8DF2-D61015147117
Q351552,Benjamin Civiletti,Q636207,United States Attorney General,1979-08-16T00:00:00Z,1981-01-19T00:00:00Z,,,73,Q1335058,Griffin Bell,Q351294,William French Smith,,,,,,Q351552-2A94FE47-CECE-47A3-B102-A5F4888E4389
Q817486,Benjamin Franklin Butler,Q636207,United States Attorney General,1833-11-15T00:00:00Z,1838-07-04T00:00:00Z,,,12,Q359470,Roger B. Taney,Q1375704,Felix Grundy,,,,,,Q817486-2F982B54-CF64-438E-B8A5-20809DDD70A5
Q352343,Benjamin H. Brewster,Q636207,United States Attorney General,,,,,,,,,,,,,,,Q352343-930F303C-4C42-4804-BFFC-8E9AE79DBEC6
Q817605,Benjamin Lincoln,Q2419102,United States Secretary of War,1781-01-01T00:00:00Z,1783-01-01T00:00:00Z,,,1,,,Q355680,Henry Knox,,,,,,Q817605-3A962C92-63D3-4AE5-8468-98BB658B11F1
Q817705,Benjamin Stoddert,Q940135,United States Secretary of the Navy,1798-06-18T00:00:00Z,1801-03-31T00:00:00Z,,,1,,,Q549532,Robert Smith,,,,,,Q817705-57479422-06F3-452A-84B1-D52C0DC455B8
Q817746,Benjamin Williams Crowninshield,Q940135,United States Secretary of the Navy,,,,,5,,,,,,,,,,Q817746-07EBA089-B3BE-4F4A-A755-336669A72C1C
Q30375681,Bernard L. Boutin,Q15623718,Administrator of the Small Business Administration,,,,,,,,,,,,,,,Q30375681-85e963e3-3023-40d5-92c9-788d8beafc17
Q4898286,Betsy DeVos,Q967762,United States Secretary of Education,2017-02-07T00:00:00Z,2021-01-08T00:00:00Z,,,,Q6243110,"John King, Jr.",Q16107563,Mick Zais,,,https://www.wsj.com/articles/betsy-devos-resigns-as-education-secretary-11610077449?mod=article_inline,,,Q4898286-4b4b39a3-4318-1ad7-3934-3cdcb838353b
Q311782,Bill Richardson,Q1785225,United States Ambassador to the United Nations,1997-02-18T00:00:00Z,1998-08-18T00:00:00Z,,,21,Q174438,Madeleine Albright,Q7173066,Peter Burleigh,,,,,,Q311782-BFF8F8E1-9D2F-4257-B921-F8F9DD12CAB5
Q311782,Bill Richardson,Q1029968,United States Secretary of Energy,1998-08-18T00:00:00Z,2001-01-20T00:00:00Z,,,9,Q1400546,Federico Peña,Q1285613,Spencer Abraham,,,,,,Q311782-643D076C-6990-40F7-B467-5ED49D85173F
Q4933628,Bob Perciasepe,Q2087596,Administrator of the Environmental Protection Agency,2013-02-15T00:00:00Z,2013-07-18T00:00:00Z,,,,Q445734,Lisa P. Jackson,Q5562899,Gina McCarthy,Q4676846,acting,,,,Q4933628-36151643-5b44-4baf-9c9e-1b0e99568636
Q4963500,Brian D. Montgomery,Q2419581,United States Secretary of Housing and Urban Development,2009-01-20T00:00:00Z,2009-01-26T00:00:00Z,,,,Q376530,Steve Preston,Q379739,Shaun Donovan,Q4676846,acting,,,,Q4963500-17733e54-413b-2d82-bc41-de256f6d9b97
Q1659644,Brien McMahon,Q636207,United States Attorney General,1933-01-01T00:00:00Z,1935-01-01T00:00:00Z,,,,,,,,,,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000559,,,Q1659644-1aa4837f-406b-4665-30fa-d847dd5f94d0
Q357718,Brock Adams,Q967737,United States Secretary of Transportation,1977-01-23T00:00:00Z,1979-07-20T00:00:00Z,,,,,,,,,,,,,Q357718-fc69b504-4a81-c555-7fab-e3e4b5e81031
Q878739,Bruce Babbitt,Q2287650,United States Secretary of the Interior,1993-01-22T00:00:00Z,2001-01-02T00:00:00Z,,,,Q445980,Manuel Lujan,Q271717,Gale Norton,,,,,,Q878739-3BD49C7C-9D3C-4024-A7D5-E9EABE837295
Q509225,C. Douglas Dillon,Q4215834,United States Secretary of the Treasury,1961-01-21T00:00:00Z,1965-04-01T00:00:00Z,,,,Q1335625,Robert B. Anderson,Q1385526,Henry H. Fowler,,,,,,Q509225-8F9523FA-3336-45E6-9B13-2E1F20EBE373
Q1025419,Caesar Augustus Rodney,Q636207,United States Attorney General,1807-01-20T00:00:00Z,1811-12-05T00:00:00Z,,,6,Q959976,John Breckinridge,Q1376159,William Pinkney,,,,,,Q1025419-99995171-2B49-49A4-8E6A-58D3C717A96B
Q177650,Caleb Cushing,Q636207,United States Attorney General,1853-03-07T00:00:00Z,1857-03-04T00:00:00Z,,,23,Q880239,John J. Crittenden,Q742459,Jeremiah S. Black,,,,,,Q177650-CEF3C5DF-52D7-4E98-B2A5-DB4F9A4EA54C
Q36023,Calvin Coolidge,Q11699,Vice President of the United States,1921-03-04T00:00:00Z,1923-08-02T00:00:00Z,,,29,Q299001,Thomas Riley Marshall,Q184565,Charles G. Dawes,,,,,,Q36023-03C362E8-63C8-4894-B1B5-8730CDF5137A
Q5026282,Cameron Kerry,Q2003296,United States Secretary of Commerce,2013-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,Q510127,Rebecca Blank,Q293365,Penny Pritzker,,,,,,q5026282-38c9ca22-4906-2fc2-f144-29053759eedd
Q127437,Carl Schurz,Q2287650,United States Secretary of the Interior,1877-03-12T00:00:00Z,1881-03-07T00:00:00Z,,,13,Q139414,Zachariah Chandler,Q708401,Samuel J. Kirkwood,,,,,,Q127437-E1FE99FA-221B-45D5-99D5-9173FE1A45B8
Q457445,Carla Anderson Hills,Q2419581,United States Secretary of Housing and Urban Development,1975-03-10T00:00:00Z,1977-01-20T00:00:00Z,,,,Q1385357,James Thomas Lynn,Q444106,Patricia Roberts Harris,,,,,,Q457445-D038B111-A969-41BE-B736-03195C02509B
Q107195317,Carlos Del Toro,Q940135,United States Secretary of the Navy,2021-08-09T00:00:00Z,,,,,Q42316397,Kenneth Braithwaite,,,,,https://www.navy.mil/Leadership/Biographies/BioDisplay/Article/2725564/carlos-del-toro/,,,Q107195317-CFC5D9D6-F0DE-4884-9C61-0AAE9E9B629E
Q741648,Carlos Gutierrez,Q2003296,United States Secretary of Commerce,,,,,,,,,,,,,,,Q741648-62585ECE-5F7B-44DC-84DC-40FE02C5FEAF
Q741648,Carlos Gutierrez,Q2003296,United States Secretary of Commerce,2005-02-07T00:00:00Z,2009-01-20T00:00:00Z,,,,Q1240095,Donald Evans,Q350378,Gary Locke,,,,,,Q741648-FB423C3C-0F21-4A1A-AF02-715855A8FE55
Q299576,Carol Browner,Q2087596,Administrator of the Environmental Protection Agency,1993-01-23T00:00:00Z,2001-01-20T00:00:00Z,,,8,Q1644666,William K. Reilly,Q435267,Christine Todd Whitman,,,,,,Q299576-E98091FB-026E-47DE-92E2-0D60444A2924
Q1045879,Carter Glass,Q4215834,United States Secretary of the Treasury,1918-12-16T00:00:00Z,1920-02-01T00:00:00Z,,,47,Q741058,William Gibbs McAdoo,Q1174390,David Franklin Houston,,,,,,Q1045879-C5B79E34-E724-4E46-A882-985772A9DC9F
Q434142,Caspar Weinberger,Q735015,United States Secretary of Defense,1981-01-21T00:00:00Z,1987-11-23T00:00:00Z,,,,Q552916,Harold Brown,Q518861,Frank Carlucci,,,,,,Q434142-2364D939-CBCA-4D44-BC1F-6EC71A6CD181
Q434142,Caspar Weinberger,Q3310559,"United States Secretary of Health, Education, and Welfare",1973-02-12T00:00:00Z,1975-08-08T00:00:00Z,,,,Q719808,Elliot Richardson,Q376103,F. David Mathews,,,,,,Q434142-F857D159-4D50-4F13-9E69-2C1B6B7F70F1
Q23663927,Cassius F. Butts,Q15623718,Administrator of the Small Business Administration,,,,,,,,,,,,,,,Q23663927-372b7a9f-0091-4d87-ac38-9eff8ceabac0
Q28469527,Catherine McCabe,Q2087596,Administrator of the Environmental Protection Agency,2017-01-20T00:00:00Z,2017-02-17T00:00:00Z,,,,Q5562899,Gina McCarthy,Q7437083,Scott Pruitt,Q4676846,acting,,,,Q28469527-0ebd97fc-de87-4fb6-abd9-99d8d42ca66c
Q372022,Cecil D. Andrus,Q2287650,United States Secretary of the Interior,1977-01-23T00:00:00Z,1981-01-20T00:00:00Z,,,42,Q371315,Thomas S. Kleppe,Q710501,James G. Watt,,,,,,Q372022-06964814-84D0-423F-B012-D8BC751FCA8A
Q616305,Cecilia Rouse,Q27907217,Chair of the Council of Economic Advisers,2021-03-12T00:00:00Z,,,,,Q55433012,Tyler Goodspeed,,,,,https://www.whitehouse.gov/administration/cabinet/,,Chair of the Council of Economic Advisers,Q616305-7578d21b-441f-7104-db6b-6b1b8952755d
Q72044313,Chad Wolf,Q642859,United States Secretary of Homeland Security,2019-11-13T00:00:00Z,2021-01-11T00:00:00Z,,,,Q30122656,Kevin McAleenan,Q82607085,Pete Gaynor,Q4676846,acting,,,,Q72044313-77259672-4f69-e63f-1bb9-7431ded33c9f
Q271023,Charles Curtis,Q11699,Vice President of the United States,1929-03-04T00:00:00Z,1933-03-04T00:00:00Z,,,31,Q184565,Charles G. Dawes,Q298991,John Nance Garner,,,,,,Q271023-8E8CFB1D-3217-4D24-8278-5DA55D682745
Q352136,Charles Devens,Q636207,United States Attorney General,1877-03-12T00:00:00Z,1881-03-04T00:00:00Z,,,,,,,,,,,,,Q352136-26D8CEF5-F95B-47FC-BDEF-49A6E654B211
Q1066337,"Charles Duncan, Jr.",Q1029968,United States Secretary of Energy,1979-08-24T00:00:00Z,1981-01-20T00:00:00Z,,,2,Q171989,James R. Schlesinger,Q888950,James B. Edwards,,,,,,Q1066337-14F7C787-894B-4EF6-82B2-AA42742389F4
Q776165,Charles E. Bohlen,Q14213,United States Secretary of State,1969-01-20T00:00:00Z,1969-01-22T00:00:00Z,,,,Q313258,Dean Rusk,Q433180,William P. Rogers,,,,,,Q776165-b32acae3-4fe3-d345-ab53-1b9d23b2da5c
Q881295,Charles Edison,Q940135,United States Secretary of the Navy,1940-01-02T00:00:00Z,1940-06-24T00:00:00Z,,,,Q658506,Claude Augustus Swanson,Q526220,Frank Knox,,,,,,Q881295-A400D680-450B-441C-8904-FB82272F70E3
Q1064288,Charles Erwin Wilson,Q735015,United States Secretary of Defense,1953-01-28T00:00:00Z,1957-10-08T00:00:00Z,,,,Q2063424,Robert Abercrombie Lovett,Q934934,Neil H. McElroy,,,,,,Q1064288-0DD0204B-4966-4262-AD6D-4F4628B7F4A8
Q313252,Charles Evans Hughes,Q14213,United States Secretary of State,1921-03-05T00:00:00Z,1925-03-04T00:00:00Z,,,44,Q708024,Bainbridge Colby,Q193009,Frank B. Kellogg,,,,,,Q313252-75723E0B-D6C0-494F-8276-60295A8A3380
